nationality;male;female;comments
Нигерцы;нигерец;нигерка;
Нидерландцы;нидерландец;нидерландка;
Никарагуанцы;никарагуанец;никарагуанка;
Новогвинейцы;новогвинеец;новогвинейка;
Новозеландцы;новозеландец;новозеландка;
Ногайцы, Ногайские татары;ногаец, ногайский татарин;ногайка, ногайская татарка;
Норвежцы;норвежец;норвежка;
Нормандцы;нормандец;нормандка;
Ньямвези, Ваньямвези;ньямвези, ваньямвези;ньямвези, ваньямвези;
Ольстерцы;ольстерец;ольстерка;
Ороки, Уйльта, Ульта;орок, ороч, уйлта, ульта;орок, ороч, уйлта, ульта;
Орочоны, Орочены;орочен, орочон;орочка, ороченка, орочонка;
Осетины;осетин;осетинка;
Осетины-дигорцы;осетин-дигорец;осетинка-дигорка;
Осетины-иронцы;осетин-иронец;осетинка-иронка;
Османы;осман;османка;
Остяки;остяк;остячка;
Пакистанцы;пакистанец;пакистанка;
Палестинцы;палестинец;палестинка;
Памирцы;памирец;памирка;
Панамцы;панамец;панамка;
Парагвайцы;парагваец;парагвайка;
Паяттар;паяттар;паяттарка;
Персы;перс;персиянка;
Перуанцы;перуанец;перуанка;
Полинезийцы;полинезиец;полинезийка;
Поляки;поляк;полька;
Поморы;помор;поморка;
Португальцы;португалец;португалка;
Пруссы;прусс, прусак, прусин;прусс, прусачка, прусинка;
Пуштуны;пуштун;пуштунка;
Пуэрториканцы;пуэрториканец;пуэрториканка;
Ретороманцы;ретороманец;ретороманка;
Россияне;россиянин;россиянка;
Руандийцы;руандиец;руандийка;
Румыны;румын;румынка;
Русины;русин;русинка;
Русские, Великороссы;русский, великоросс;русская, великоросска;
Рутульцы;рутулец;рутулец;
Рушанцы;рушанец;рушанка;
Саамы, Саами, Лопари, Лапландцы;саамы, саами, лопарь, лапландец, саам;саамы, саами, лопарь, лапландка, саамка;
Саксонцы;саксонец;саксонка;
Сальвадорцы;сальвадорец;сальвадорка;
Санмаринцы;санмаринец;санмаринка;
Сантомийцы;сантомиец;сантомийка;
Сарт-калмыки;сарт-калмык;сарт-калмычка;
Сваны;сван;сванка;
Селькупы;селькуп;селькупка;
Сенегальцы;сенегалец;сенегалка;
Сербы;серб;сербка;
Сету, Сето;сету;сету;
Сефарды;сефард;сефардка;
Сибирские татары;сибирский татарин;сибирская татарка;
Сибо;сибо;сибо;
Сирийцы;сириец;сирийка;
Словаки;словак;словачка;
Словенцы;словенец;словенка;
Сойоты;сойот;сойотка;
Сомалийцы;сомалиец;сомалийка;
Сонинке;сонинкец;сонинка;
Среднеазиатские евреи;среднеазиатский еврей;среднеазиатская еврейка;
Суданцы;суданец;суданка;
Сусу, Сосо;сусу, сосо;сусу, сосо;
Сьерралеонцы;сьерралеонец;сьерралеонка;
Табасараны;табасаранец, табасаран;табасаранка;
Тавлинцы;тавлинец, тавлин;тавлинка;
Таджики;таджик;таджичка;
Тазы;тазец, таз;тазка;
Таиландцы;тай;тай;
Талыши;талыш;талышка;
Тамилы;тамил, тамилец;тамилка;
Танзанийцы, Танзанцы;танзаниец, танзанец;танзанийка, танзанка;
Татарлары;татарлар;татарларка;
Татары, Тюрко-татары;татарин, тюрко-татарин;татарка, тюрко-татарка;
Татары-мишари, Мишари, Мещеряки;татарин-мишарь, мишарь, мещеряк;татарка-мишарка, мишарка, мещерячка;
Таты;тат;татка;
Теленгеттеры;теленгеттер;теленгеттерка;
Теленгинцы;теленгинец;теленгинка;
Теленгиты;теленгит;теленгитка;
Телеуты;телеут;телеутка;
Тибетцы;тибетец;тибетка;
Тиндалы;тиндал;тиндалка;
Тиндинцы;тиндинец;тиндинка;
Тлибишинцы;тлибишинец;тлибишинка;
Тоголезцы;тоголезец;тоголезка;
Тонганцы;тонганец;тонганка;
Тофалары, Тофа;тофалар;тофаларка;
Тубалары, Черневые татары;тубаларец, тубалар, черневый татарин;тубаларка, черневая татарка;
Тувинцы;тувинец;тувинка;
Тувинцы-тоджинцы;тувинец-тоджинец;тувинка-тоджинка;
Тунисцы;тунисец;туниска;
Турки;турок;турчанка;
Турки-месхетинцы;турок-месхетинец;турчанка-месхетинка;
Турки-османы;турок-османин;турчанка-османка;
Туркмены;туркмен;туркменка;
Тюрки;тюрок, тюрк;тюрчанка;
Тюрки-айзери;тюрок-айзери, тюрк-айзери;тюрчанка-айзери;
Угандийцы;угандиец;угандийка;
Угорцы, Финно-угорцы;угорец;угорка;
Удины;удин;удинка;
Удмурты, Вотяки;удмурт, вотяк;удмуртка, вотячка;
Удэгейцы;удэгеец, удэге, удэ;удэгейка, удэге, удэ;
Узбеки;узбек;узбечка;
Уйгуры;уйгур;уйгурка;
Украинцы, Малороссы;украинец, малоросс, малороссийцы;украинка, малоросска;
Ульчи, Ульча, Нани;ульчиец, ульча, нани, ульч;ульчийка, ульчанка, ульча, нани;
Унганы;унган;унганка;
Уни;унь;унь;
Уругвайцы;уругваец;уругвайка;
Фарерцы;фаререц;фарерка;
Филиппинцы;филиппинец;филиппинка;
Финны;финн;финнка;
Финны-ингерманландцы;финн-ингерманландец;финка-ингерманландка;
Фламандцы;фламандец;фламандка;
Франкошвейцарцы;франкошвейцарец;франкошвейцарка;
Французы;француз;француженка;
