id,национальность
1109889,Русские
1110012,Русские
1110227,Русские
1110498,Русские
1110564,Русские
1110746,Поляки
1110796,Русские
1110802,Русские
1110828,Русские
1110948,Русские
1110962,Русские
1111034,Русские
1111042,Русские
1111043,Украинцы
1111093,Русские
1111107,Русские
1111136,Русские
1111204,Русские
1111477,Поляки
1111531,Русские
1111553,Русские
1111634,Русские
1111852,Русские
1111855,Русские
1111872,Русские
1111900,Евреи
1111930,Немцы
1112020,Русские
1112061,нет данных
1112105,Украинцы
1112143,Русские
1112172,Русские
1112269,Русские
1112270,Русские
1112302,Украинцы
1112355,Русские
1112496,Русские
1112536,Русские
1112584,Русские
1112589,Русские
1112658,Русские
1112697,Русские
1112894,Русские
1112960,Русские
1112987,Украинцы
1112988,Русские
1113095,Украинцы
1113126,Русские
1113262,Русские
1113332,Украинцы
1113443,Русские
1113444,Украинцы
1113480,Русские
1113521,Русские
1113522,Русские
1113568,Русские
1113593,Русские
1113782,Немцы
1113832,Ульчи
1113834,Русские
1113859,Русские
1113862,Русские
1113904,Русские
1114096,Русские
1114209,Русские
1114308,Русские
1114325,Русские
1114334,Русские
1114384,Русские
1114436,Русские
1114475,Русские
1114584,Русские
1114597,Русские
1114739,Русские
1114801,Русские
1115021,Русские
1115113,Русские
1115121,Русские
1115178,Китайцы
1115242,Евреи
1115249,Поляки
1115270,Русские
1115390,Русские
1116100,Немцы
1116249,Евреи
1116265,Евреи
1116317,Евреи
1116342,Евреи
1116420,Евреи
1116485,нет данных
1116486,Немцы
1116838,Татары
1117302,Русские
1117399,Немцы
1117404,Ульчи
1117421,Русские
1117749,Китайцы
1117750,Китайцы
1117756,Китайцы
1117758,Китайцы
1117762,Китайцы
1117765,Китайцы
1117770,Китайцы
1117778,Китайцы
1117780,Китайцы
1117783,Китайцы
1117785,Китайцы
1117787,Китайцы
1117796,Китайцы
1117798,Китайцы
1117799,Китайцы
1117800,Китайцы
1117803,Китайцы
1117804,Китайцы
1117807,Китайцы
1117810,Китайцы
1117812,Китайцы
1117813,Китайцы
1117814,Китайцы
1117815,Китайцы
1117816,Китайцы
1117818,Китайцы
1117820,Китайцы
1117821,Китайцы
1117823,Китайцы
1117824,Китайцы
1117826,Китайцы
1117827,Китайцы
1117832,Китайцы
1117834,Китайцы
1117837,Китайцы
1117842,Китайцы
1117843,Китайцы
1117844,Китайцы
1117845,Китайцы
1117846,Китайцы
1117849,Китайцы
1117851,Китайцы
1117852,Китайцы
1117853,Китайцы
1117855,Русские
1117858,Китайцы
1117860,Китайцы
1117861,Китайцы
1117863,Китайцы
1117864,Китайцы
1117866,Китайцы
1117870,Китайцы
1117871,Китайцы
1117873,Китайцы
1117876,Китайцы
1117879,Китайцы
1117882,Китайцы
1117883,Китайцы
1117884,Китайцы
1117885,Китайцы
1117886,Китайцы
1117888,Китайцы
1117889,Китайцы
1117893,Китайцы
1117894,Китайцы
1117895,Китайцы
1117896,Китайцы
1117897,Китайцы
1117898,Китайцы
1117899,Китайцы
1117901,Китайцы
1117903,Китайцы
1117904,Китайцы
1117905,Китайцы
1117906,Китайцы
1117907,Китайцы
1117909,Китайцы
1117912,Китайцы
1117913,Китайцы
1117916,Китайцы
1117917,Китайцы
1117920,Китайцы
1117921,Китайцы
1117925,Китайцы
1117926,Китайцы
1117927,Китайцы
1117930,Китайцы
1117935,Китайцы
1117936,Китайцы
1117938,Китайцы
1117939,Китайцы
1117941,Китайцы
1117943,Китайцы
1117944,Китайцы
1117946,Китайцы
1117947,Китайцы
1117951,Китайцы
1117952,Китайцы
1117957,нет данных
1117958,Китайцы
1117961,Китайцы
1117962,Китайцы
1117963,Китайцы
1117964,Китайцы
1117966,Китайцы
1117969,Китайцы
1117970,Китайцы
1117971,Китайцы
1117972,Китайцы
1117973,Китайцы
