id,гражданство
1102048,нет данных
1102070,СССР
1102075,нет данных
1102120,СССР
1102121,СССР
1102228,СССР
1102258,СССР
1102356,СССР
1102358,СССР
1102373,СССР
1102538,СССР
1102600,СССР
1102602,СССР
1102607,СССР
1102663,СССР
1102675,СССР
1102686,СССР
1102698,СССР
1102840,нет данных
1102843,нет данных
1102939,СССР
1102947,СССР
1102950,СССР
1103027,СССР
1103215,СССР
1103448,СССР
1103538,СССР
1103595,СССР
1103631,СССР
1103637,СССР
1103674,СССР
1103684,СССР
1103699,СССР
1103749,СССР
1103805,СССР
1103833,СССР
1103863,СССР
1103864,СССР
1103879,СССР
1103951,СССР
1103997,СССР
1104010,СССР
1104049,СССР
1104309,СССР
1104310,СССР
1104366,нет данных
1104384,СССР
1104389,нет данных
1104400,СССР
1104458,СССР
1104461,СССР
1104522,нет данных
1104677,СССР
1104738,СССР
1104742,СССР
1104931,СССР
1104948,СССР
1104990,нет данных
1105018,СССР
1105164,СССР
1105227,СССР
1105233,нет данных
1105236,нет данных
1105264,СССР
1105265,СССР
1105266,СССР
1105285,СССР
1105323,СССР
1105388,СССР
1105434,СССР
1105437,СССР
1105477,нет данных
1105506,СССР
1105566,СССР
1105599,СССР
1105716,эмигрант
1105726,СССР
1105751,СССР
1105786,СССР
1105829,СССР
1105858,СССР
1105989,СССР
1105992,СССР
1106110,СССР
1106193,СССР
1106274,СССР
1106456,СССР
1106751,СССР
1106780,СССР
1106796,СССР
1106797,СССР
1106819,нет данных
1106824,СССР
1106830,СССР
1106843,СССР
1106867,нет данных
1106873,нет данных
1106942,СССР
1107055,СССР
1107065,СССР
1107066,СССР
1107077,нет данных
1107091,СССР
1107095,нет данных
1107100,нет данных
1107134,СССР
1107196,СССР
1107218,СССР
1107222,СССР
1107247,СССР
1107442,СССР
1107464,СССР
1107505,СССР
1107523,СССР
1107524,СССР
1107557,СССР
1107560,СССР
1107603,нет данных
1107604,нет данных
1107610,СССР
1107716,СССР
1107767,СССР
1107884,СССР
1107960,СССР
1108022,нет данных
1108025,СССР
1108213,СССР
1108214,СССР
1108225,СССР
1108287,СССР
1108343,СССР
1108371,СССР
1108515,СССР
1108525,нет данных
1108735,СССР
1108765,СССР
1108807,нет данных
1108839,СССР
1108870,СССР
1108938,СССР
1109066,СССР
1109067,СССР
1109133,СССР
1109149,СССР
1109211,СССР
1109273,СССР
1109367,СССР
1109399,СССР
1109410,СССР
1109414,СССР
1109511,СССР
1109601,СССР
1109691,СССР
1109693,СССР
1109838,СССР
1109888,СССР
1109889,СССР
1110012,СССР
1110227,СССР
1110498,эмигрант
1110564,СССР
1110746,СССР
1110796,СССР
1110802,СССР
1110828,СССР
1110948,СССР
1110962,СССР
1111034,СССР
1111042,СССР
1111043,СССР
1111093,нет данных
1111107,СССР
1111136,СССР
1111204,СССР
1111477,СССР
1111531,СССР
1111553,СССР
1111634,СССР
1111852,СССР
1111855,нет данных
1111872,СССР
1111900,СССР
1111930,СССР
1112020,СССР
1112061,нет данных
1112105,СССР
1112143,СССР
1112172,СССР
1112269,СССР
1112270,СССР
1112302,СССР
1112355,СССР
1112496,СССР
1112536,СССР
1112584,СССР
1112589,СССР
1112658,СССР
1112697,СССР
1112894,СССР
1112960,СССР
1112987,СССР
1112988,СССР
1113095,СССР
1113126,СССР
1113262,СССР
1113332,СССР
1113443,СССР
1113444,СССР
1113480,СССР
1113521,СССР
1113522,СССР
1113568,СССР
1113593,СССР
1113782,нет данных
1113832,СССР
1113834,СССР
1113859,СССР
1113862,СССР
1113904,СССР
1114096,СССР
1114209,СССР
1114308,СССР
1114325,СССР
1114334,СССР
1114384,СССР
1114436,СССР
1114475,СССР
1114584,СССР
1114597,нет данных
1114739,СССР
1114801,нет данных
1115021,СССР
1115113,СССР
1115121,СССР
1115178,Китай
1115242,СССР
1115249,СССР
1115270,СССР
1115390,СССР
1116100,нет данных
1116249,СССР
1116265,СССР
1116317,СССР
1116342,СССР
1116420,СССР
1116485,нет данных
1116486,нет данных
1116838,СССР
1117302,СССР
1117399,нет данных
1117404,СССР
1117421,СССР
1117749,Китай
1117750,Без гражданства
1117756,Китай
1117758,СССР
1117762,Китай
1117765,Китай
1117770,Китай
1117778,Китай
