id,партийная принадлежность
1100006,нет данных
1100019,нет данных
1100041,нет данных
1100077,нет данных
1100095,нет данных
1100221,нет данных
1100353,нет данных
1100425,нет данных
1100527,нет данных
1100709,нет данных
1100724,нет данных
1100732,нет данных
1100800,нет данных
1100877,нет данных
1100946,нет данных
1101014,нет данных
1101046,нет данных
1101074,нет данных
1101081,нет данных
1101091,нет данных
1101264,нет данных
1101270,нет данных
1101460,нет данных
1101499,нет данных
1101506,нет данных
1101508,нет данных
1101548,нет данных
1101560,нет данных
1101638,нет данных
1101670,нет данных
1101786,нет данных
1101943,нет данных
1101963,нет данных
1102048,нет данных
1102070,нет данных
1102075,нет данных
1102120,нет данных
1102121,нет данных
1102228,нет данных
1102258,нет данных
1102356,нет данных
1102358,нет данных
1102373,нет данных
1102538,нет данных
1102600,нет данных
1102602,нет данных
1102607,нет данных
1102663,нет данных
1102675,нет данных
1102686,нет данных
1102698,нет данных
1102840,нет данных
1102843,нет данных
1102939,нет данных
1102947,нет данных
1102950,нет данных
1103027,нет данных
1103215,нет данных
1103448,нет данных
1103538,нет данных
1103595,нет данных
1103631,нет данных
1103637,нет данных
1103674,нет данных
1103684,нет данных
1103699,нет данных
1103749,нет данных
1103805,нет данных
1103833,нет данных
1103863,нет данных
1103864,нет данных
1103879,нет данных
1103951,нет данных
1103997,нет данных
1104010,нет данных
1104049,нет данных
1104309,нет данных
1104310,нет данных
1104366,нет данных
1104384,нет данных
1104389,нет данных
1104400,нет данных
1104458,нет данных
1104461,нет данных
1104522,нет данных
1104677,нет данных
1104738,нет данных
1104742,нет данных
1104931,нет данных
1104948,нет данных
1104990,нет данных
1105018,нет данных
1105164,нет данных
1105227,нет данных
1105233,нет данных
1105236,нет данных
1105264,нет данных
1105265,нет данных
1105266,нет данных
1105285,нет данных
1105323,нет данных
1105388,нет данных
1105434,нет данных
1105437,нет данных
1105477,нет данных
1105506,нет данных
1105566,нет данных
1105599,нет данных
1105716,нет данных
1105726,нет данных
1105751,нет данных
1105786,нет данных
1105829,нет данных
1105858,нет данных
1105989,нет данных
1105992,нет данных
1106110,нет данных
1106193,нет данных
1106274,нет данных
1106456,нет данных
1106751,нет данных
1106780,нет данных
1106796,нет данных
1106797,нет данных
1106819,нет данных
1106824,нет данных
1106830,нет данных
1106843,нет данных
1106867,нет данных
1106873,нет данных
1106942,нет данных
1107055,нет данных
1107065,нет данных
1107066,нет данных
1107077,нет данных
1107091,нет данных
1107095,нет данных
1107100,нет данных
1107134,нет данных
1107196,нет данных
1107218,нет данных
1107222,нет данных
1107247,нет данных
1107442,нет данных
1107464,нет данных
1107505,нет данных
1107523,нет данных
1107524,нет данных
1107557,нет данных
1107560,нет данных
1107603,нет данных
1107604,нет данных
1107610,нет данных
1107716,нет данных
1107767,нет данных
1107884,нет данных
1107960,нет данных
1108022,нет данных
1108025,нет данных
1108213,нет данных
1108214,нет данных
1108225,нет данных
1108287,нет данных
1108343,нет данных
1108371,нет данных
1108515,нет данных
1108525,нет данных
1108735,нет данных
1108765,нет данных
1108807,нет данных
1108839,нет данных
